Rk|Coach|From|To|Last School|Yrs|G|W|L|T|Pct|BG|BW|BL|BT|BPct|Notes
92|Dutch Clark|1951|1953|Detroit Mercy|3|30|13|17|0|.433|0|0|0|0||
93|Heck Clark|1931|1939|Sewanee|9|80|21|56|3|.281|0|0|0|0||
94|Potsy Clark|1921|1948|Nebraska|7|58|22|30|6|.431|0|0|0|0||
95|Shawn Clark|2019|2019|Appalachian State|1|1|1|0|0|1.000|1|1|0|0|1.000|
96|Stewart Clark|1928|1929|Western State|2|14|2|12|0|.143|0|0|0|0||
97|Dick Clausen|1956|1957|New Mexico|2|20|8|12|0|.400|0|0|0|0||
98|Dave Clawson|2009|2019|Wake Forest|11|140|68|72|0|.486|7|3|4|0|.429|
99|Zora Clevenger|1911|1919|Kansas State|9|73|45|24|4|.644|0|0|0|0||
100|John Coatta|1967|1969|Wisconsin|3|30|3|26|1|.117|0|0|0|0||
101|L.A. Cobbett|1918|1918|Lafayette|1|7|3|4|0|.429|0|0|0|0||
102|Eddie Cochems|1905|1908|Saint Louis|3|26|16|7|3|.673|0|0|0|0||
103|Garrett Cochran|1900|1902|Princeton|2|18|14|4|0|.778|0|0|0|0||
104|Tom Cochrane|1894|1894|Minnesota|1|4|3|1|0|.750|0|0|0|0||
105|George Cockill|1914|1914|Bucknell|1|9|4|4|1|.500|0|0|0|0||
106|Josh Cody|1927|1939|Florida|8|84|46|35|3|.565|0|0|0|0||
107|Stanley Cofall|1928|1928|Wake Forest|1|10|2|6|2|.300|0|0|0|0||
108|Charles Coffey|1971|1973|Virginia Tech|3|33|12|20|1|.379|0|0|0|0||
109|Russ Cohen|1928|1931|Louisiana State|4|37|23|13|1|.635|0|0|0|0||
110|Larry Coker|2001|2015|Texas-San Antonio|10|123|82|41|0|.667|6|4|2|0|.667|
111|George Cole|1942|1942|Arkansas|1|10|3|7|0|.300|0|0|0|0||
112|King Cole|1907|1910|Nebraska|4|36|25|8|3|.736|0|0|0|0||
113|William Cole|1905|1905|Virginia|1|9|5|4|0|.556|0|0|0|0||
114|Harris Coleman|1919|1919|Virginia|1|9|2|5|2|.333|0|0|0|0||
115|Joe Coleman|1951|1952|New Mexico State|2|19|3|15|1|.184|0|0|0|0||
116|Jim Colletto|1975|1996|Purdue|11|122|37|81|4|.320|0|0|0|0||record adjusted to 38-80-4 by NCAA
117|Blanton Collier|1954|1961|Kentucky|8|80|41|36|3|.531|0|0|0|0||
118|Ben Collins|1957|1961|Texas-El Paso|5|48|18|29|1|.385|0|0|0|0||
119|Bobby Collins|1975|1986|Southern Methodist|12|138|89|46|3|.656|5|3|2|0|.600|record adjusted to 90-45-3 by NCAA
120|Chuck Collins|1926|1933|North Carolina|8|78|38|31|9|.545|0|0|0|0||
121|Geoff Collins|2017|2019|Georgia Tech|3|37|18|19|0|.486|1|1|0|0|1.000|
122|Mike Collins|2002|2002|Louisiana-Monroe|1|9|3|6|0|.333|0|0|0|0||
123|Pat Collins|1981|1981|Louisiana-Monroe|1|11|5|6|0|.455|0|0|0|0||
124|Richard Colman|1957|1968|Princeton|12|108|75|33|0|.694|0|0|0|0||
125|Bob Commings|1974|1978|Iowa|5|55|17|38|0|.309|0|0|0|0||record adjusted to 18-37-0 by NCAA
126|Maurice Connor|1899|1902|Holy Cross|4|38|23|12|3|.645|0|0|0|0||
127|Al Conover|1972|1975|Rice|4|44|14|28|2|.341|0|0|0|0||record adjusted to 15-27-2 by NCAA
128|Boyd Converse|1967|1967|Wichita State|1|10|2|7|1|.250|0|0|0|0||
129|Jimmy Conzelman|1932|1939|Washington (MO)|8|77|40|35|2|.532|0|0|0|0||
130|W.T. Cook|1912|1913|Davidson|2|14|5|9|0|.357|0|0|0|0||
131|M.T. Cooke|1908|1908|Virginia|1|8|7|0|1|.938|0|0|0|0||
132|Mike Cooley|1963|1964|Lehigh|2|18|2|15|1|.139|0|0|0|0||
133|George Cooper|1923|1927|Northern Colorado|5|41|14|25|2|.366|0|0|0|0||
134|John Cooper|1977|2000|Ohio State|24|282|192|84|6|.691|14|5|9|0|.357|
135|Ken Cooper|1974|1977|Mississippi|4|44|19|25|0|.432|0|0|0|0||record adjusted to 21-23-0 by NCAA
