Cohort Year|School|Conference|Sport|State|GSR|FGR
2012|Miami (Fla.)|Atlantic Coast Conference|Football|FL|81|50
2012|Michigan|Big Ten Conference|Football|MI|91|72
2012|Minnesota|Big Ten Conference|Football|MN|91|76
2012|Ole Miss|Southeastern Conference|Football|MS|69|52
2012|Missouri|Southeastern Conference|Football|MO|83|68
2012|Montana|Big Sky Conference|Football|MT|70|57
2012|Nebraska|Big Ten Conference|Football|NE|89|69
2012|UNLV|Mountain West Conference|Football|NV|63|60
2012|Nevada|Mountain West Conference|Football|NV|73|45
2012|New Hampshire|Colonial Athletic Association|Football|NH|98|85
2012|New Mexico|Mountain West Conference|Football|NM|62|38
2012|North Alabama|Independent|Football|AL|41|30
2012|North Carolina|Atlantic Coast Conference|Football|NC|70|59
2012|North Dakota|Independent|Football|ND|63|52
2012|North Texas|Conference USA|Football|TX|83|61
2012|Northern Colorado|Big Sky Conference|Football|CO|82|61
2012|Northern Iowa|Missouri Valley Football Conference|Football|IA|74|54
2012|Notre Dame|Independent|Football|IN|92|84
2012|Oklahoma|Big 12 Conference|Football|OK|73|53
2012|Oregon|Pac-12 Conference|Football|OR|77|62
2012|Pennsylvania|The Ivy League|Football|PA|94|90
2012|Pittsburgh|Atlantic Coast Conference|Football|PA|78|47
2012|Rhode Island|Colonial Athletic Association|Football|RI|73|53
2012|Richmond|Colonial Athletic Association|Football|VA|84|78
2012|San Diego|Pioneer Football League|Football|CA|87|
2012|South Alabama|Sun Belt Conference|Football|AL|71|60
2012|South Carolina|Southeastern Conference|Football|SC|92|64
2012|South Dakota|Missouri Valley Football Conference|Football|SD|77|53
2012|USF|American Athletic Conference|Football|FL|77|65
2012|Southern California|Pac-12 Conference|Football|CA|82|62
2012|Tennessee at Chattanooga|Southern Conference|Football|TN|80|63
2012|Tennessee at Martin|Ohio Valley Conference|Football|TN|65|50
2012|Tennessee|Southeastern Conference|Football|TN|74|55
2012|Texas|Big 12 Conference|Football|TX|76|62
2012|UTEP|Conference USA|Football|TX|85|67
2012|UTSA|Conference USA|Football|TX|81|59
2012|Incarnate Word|Southland Conference|Football|TX|86|56
2012|Toledo|Mid-American Conference|Football|OH|83|70
2012|Utah|Pac-12 Conference|Football|UT|93|66
2012|Virginia|Atlantic Coast Conference|Football|VA|86|73
2012|Washington|Pac-12 Conference|Football|WA|90|66
2012|Wisconsin|Big Ten Conference|Football|WI|90|77
2012|Wyoming|Mountain West Conference|Football|WY|85|51
2012|Utah State|Mountain West Conference|Football|UT|92|69
2012|Valparaiso|Pioneer Football League|Football|IN|69|
2012|Vanderbilt|Southeastern Conference|Football|TN|95|81
2012|Villanova|Colonial Athletic Association|Football|PA|92|92
